lap_number,driver,position,lap_time,gap_ahead,tire_compound,tire_age,pit_stop,track_status
1,HAM,1,91.686,0.0,MEDIUM,4,False,Green
1,VER,2,92.8,1.114,SOFT,4,False,Green
1,PER,3,93.756,2.07,SOFT,4,False,Green
1,SAI,4,94.819,3.133,SOFT,4,False,Green
1,NOR,5,95.658,3.972,SOFT,4,False,Green
1,LEC,6,96.143,4.457,SOFT,4,False,Green
1,TSU,7,96.6,4.914,MEDIUM,5,False,Green
1,BOT,8,97.28,5.594,MEDIUM,6,False,Green
1,OCO,9,97.772,6.086,SOFT,4,False,Green
1,RIC,10,98.267,6.581,SOFT,4,False,Green
1,ALO,11,98.679,6.993,HARD,2,False,Green
1,GAS,12,99.33,7.644,HARD,1,False,Green
1,GIO,13,99.822,8.136,MEDIUM,1,False,Green
1,STR,14,100.334,8.648,MEDIUM,1,False,Green
1,VET,15,100.689,9.003,MEDIUM,1,False,Green
1,LAT,16,101.174,9.488,MEDIUM,1,False,Green
1,RAI,17,101.61,9.924,MEDIUM,1,False,Green
1,MSC,18,102.098,10.412,SOFT,1,False,Green
1,RUS,19,102.644,10.958,MEDIUM,1,False,Green
2,HAM,1,88.791,0.0,MEDIUM,5,False,Green
2,VER,2,89.103,1.426,SOFT,5,False,Green
2,PER,3,89.507,2.786,SOFT,5,False,Green
2,SAI,4,90.325,4.667,SOFT,5,False,Green
2,NOR,5,90.963,6.144,SOFT,5,False,Green
2,LEC,6,91.14,6.806,SOFT,5,False,Green
2,TSU,7,91.494,7.617,MEDIUM,6,False,Green
2,BOT,8,91.738,8.541,MEDIUM,7,False,Green
2,OCO,9,92.085,9.38,SOFT,5,False,Green
2,RIC,10,92.138,9.928,SOFT,5,False,Green
2,ALO,11,92.422,10.624,HARD,3,False,Green
2,GAS,12,92.814,11.667,HARD,2,False,Green
2,GIO,13,93.17,12.515,MEDIUM,2,False,Green
2,STR,14,93.222,13.079,MEDIUM,2,False,Green
2,VET,15,93.38,13.592,MEDIUM,2,False,Green
2,RAI,16,93.319,14.452,MEDIUM,2,False,Green
2,LAT,17,94.545,15.242,MEDIUM,2,False,Green
2,MSC,18,94.049,15.67,SOFT,2,False,Green
2,RUS,19,94.186,16.353,MEDIUM,2,False,Green
3,HAM,1,88.587,0.0,MEDIUM,6,False,Green
3,VER,2,88.827,1.666,SOFT,6,False,Green
3,PER,3,89.273,3.472,SOFT,6,False,Green
3,SAI,4,90.155,6.235,SOFT,6,False,Green
3,NOR,5,90.765,8.322,SOFT,6,False,Green
3,LEC,6,90.91,9.129,SOFT,6,False,Green
3,TSU,7,90.811,9.841,MEDIUM,7,False,Green
3,BOT,8,90.683,10.637,MEDIUM,8,False,Green
3,OCO,9,90.852,11.645,SOFT,6,False,Green
3,RIC,10,91.096,12.437,SOFT,6,False,Green
3,ALO,11,91.511,13.548,HARD,4,False,Green
3,GAS,12,91.533,14.613,HARD,3,False,Green
3,GIO,13,91.837,15.765,MEDIUM,3,False,Green
3,STR,14,91.943,16.435,MEDIUM,3,False,Green
3,VET,15,91.953,16.958,MEDIUM,3,False,Green
3,RAI,16,91.945,17.81,MEDIUM,3,False,Green
3,LAT,17,93.236,19.891,MEDIUM,3,False,Green
3,MSC,18,93.612,20.695,SOFT,3,False,Green
3,RUS,19,93.882,21.648,MEDIUM,3,False,Green
4,HAM,1,88.789,0.0,MEDIUM,7,False,Green
4,VER,2,89.026,1.903,SOFT,7,False,Green
4,PER,3,88.902,3.585,SOFT,7,False,Green
4,SAI,4,90.356,7.802,SOFT,7,False,Green
4,NOR,5,90.355,9.888,SOFT,7,False,Green
4,LEC,6,90.509,10.849,SOFT,7,False,Green
4,TSU,7,90.654,11.706,MEDIUM,8,False,Green
4,BOT,8,90.997,12.845,MEDIUM,9,False,Green
4,OCO,9,91.193,14.049,SOFT,7,False,Green
4,RIC,10,91.26,14.908,SOFT,7,False,Green
4,ALO,11,91.321,16.08,HARD,5,False,Green
4,GAS,12,91.439,17.263,HARD,4,False,Green
4,GIO,13,91.553,18.529,MEDIUM,4,False,Green
4,STR,14,91.871,19.517,MEDIUM,4,False,Green
4,VET,15,92.027,20.196,MEDIUM,4,False,Green
4,RAI,16,92.23,21.251,MEDIUM,4,False,Green
4,LAT,17,92.304,23.406,MEDIUM,4,False,Green
4,MSC,18,92.407,24.313,SOFT,4,False,Green
4,RUS,19,92.609,25.468,MEDIUM,4,False,Green
5,HAM,1,88.63,0.0,MEDIUM,8,False,Green
5,VER,2,88.718,1.991,SOFT,8,False,Green
5,PER,3,89.249,4.204,SOFT,8,False,Green
5,SAI,4,90.387,9.559,SOFT,8,False,Green
5,NOR,5,90.501,11.759,SOFT,8,False,Green
5,LEC,6,90.63,12.849,SOFT,8,False,Green
5,TSU,7,90.823,13.899,MEDIUM,9,False,Green
5,BOT,8,90.644,14.859,MEDIUM,10,False,Green
5,OCO,9,90.854,16.273,SOFT,8,False,Green
5,RIC,10,91.06,17.338,SOFT,8,False,Green
5,ALO,11,91.339,18.789,HARD,6,False,Green
5,GAS,12,91.367,20.0,HARD,5,False,Green
5,GIO,13,91.597,21.496,MEDIUM,5,False,Green
5,VET,14,91.23,22.796,MEDIUM,5,False,Green
5,STR,15,93.084,23.971,MEDIUM,5,False,Green
5,RAI,16,91.984,24.605,MEDIUM,5,False,Green
5,LAT,17,91.755,26.531,MEDIUM,5,False,Green
5,MSC,18,91.634,27.317,SOFT,5,False,Green
5,RUS,19,91.678,28.516,MEDIUM,5,False,Green
6,HAM,1,88.593,0.0,MEDIUM,9,False,Green
6,VER,2,88.707,2.105,SOFT,9,False,Green
6,PER,3,89.239,4.85,SOFT,9,False,Green
6,SAI,4,90.329,11.295,SOFT,9,False,Green
6,NOR,5,90.555,13.721,SOFT,9,False,Green
6,LEC,6,90.586,14.842,SOFT,9,False,Green
6,TSU,7,90.541,15.847,MEDIUM,10,False,Green
6,BOT,8,90.639,16.905,MEDIUM,11,False,Green
6,OCO,9,90.881,18.561,SOFT,9,False,Green
6,RIC,10,90.776,19.521,SOFT,9,False,Green
6,ALO,11,90.92,21.116,HARD,7,False,Green
6,GAS,12,90.786,22.193,HARD,6,False,Green
6,GIO,13,91.313,24.216,MEDIUM,6,False,Green
6,VET,14,91.316,25.519,MEDIUM,6,False,Green
6,STR,15,91.59,26.968,MEDIUM,6,False,Green
6,RAI,16,91.868,27.88,MEDIUM,6,False,Green
6,LAT,17,92.003,29.941,MEDIUM,6,False,Green
6,MSC,18,92.041,30.765,SOFT,6,False,Green
6,RUS,19,92.508,32.431,MEDIUM,6,False,Green
7,HAM,1,88.55,0.0,MEDIUM,10,False,Green
7,VER,2,88.636,2.191,SOFT,10,False,Green
7,PER,3,89.022,5.322,SOFT,10,False,Green
7,SAI,4,90.316,13.061,SOFT,10,False,Green
7,NOR,5,90.312,15.483,SOFT,10,False,Green
7,LEC,6,90.32,16.612,SOFT,10,False,Green
7,TSU,7,90.284,17.581,MEDIUM,11,False,Green
7,BOT,8,90.195,18.55,MEDIUM,12,False,Green
7,OCO,9,90.764,20.775,SOFT,10,False,Green
7,RIC,10,91.021,21.992,SOFT,10,False,Green
7,ALO,11,90.811,23.377,HARD,8,False,Green
7,GAS,12,90.757,24.4,HARD,7,False,Green
7,GIO,13,90.707,26.373,MEDIUM,7,False,Green
7,VET,14,90.715,27.684,MEDIUM,7,False,Green
7,STR,15,91.07,29.488,MEDIUM,7,False,Green
7,RAI,16,91.35,30.68,MEDIUM,7,False,Green
7,LAT,17,91.378,32.769,MEDIUM,7,False,Green
7,MSC,18,91.681,33.896,SOFT,7,False,Green
7,RUS,19,91.589,35.47,MEDIUM,7,False,Green
8,HAM,1,88.585,0.0,MEDIUM,11,False,Green
8,VER,2,88.817,2.423,SOFT,11,False,Green
8,PER,3,88.94,5.677,SOFT,11,False,Green
8,SAI,4,90.255,14.731,SOFT,11,False,Green
8,NOR,5,90.287,17.185,SOFT,11,False,Green
8,LEC,6,90.372,18.399,SOFT,11,False,Green
8,TSU,7,90.458,19.454,MEDIUM,12,False,Green
8,BOT,8,90.533,20.498,MEDIUM,13,False,Green
8,OCO,9,90.631,22.821,SOFT,11,False,Green
8,RIC,10,90.954,24.361,SOFT,11,False,Green
8,ALO,11,91.052,25.844,HARD,9,False,Green
8,GAS,12,91.135,26.95,HARD,8,False,Green
8,GIO,13,91.022,28.81,MEDIUM,8,False,Green
8,VET,14,90.942,30.041,MEDIUM,8,False,Green
8,STR,15,91.007,31.91,MEDIUM,8,False,Green
8,RAI,16,91.42,33.515,MEDIUM,8,False,Green
8,LAT,17,91.795,35.979,MEDIUM,8,False,Green
8,MSC,18,92.228,37.539,SOFT,8,False,Green
8,RUS,19,92.193,39.078,MEDIUM,8,False,Green
9,HAM,1,88.356,0.0,MEDIUM,12,False,Green
9,VER,2,88.671,2.738,SOFT,12,False,Green
9,PER,3,89.063,6.384,SOFT,12,False,Green
9,SAI,4,90.165,16.54,SOFT,12,False,Green
9,NOR,5,90.156,18.985,SOFT,12,False,Green
9,LEC,6,90.104,20.147,SOFT,12,False,Green
9,TSU,7,90.379,21.477,MEDIUM,13,False,Green
9,BOT,8,90.515,22.657,MEDIUM,14,False,Green
9,OCO,9,90.719,25.184,SOFT,12,False,Green
9,RIC,10,90.509,26.514,SOFT,12,False,Green
9,ALO,11,90.99,28.478,HARD,10,False,Green
9,GAS,12,91.365,29.959,HARD,9,False,Green
9,GIO,13,91.039,31.493,MEDIUM,9,False,Green
9,VET,14,91.124,32.809,MEDIUM,9,False,Green
9,STR,15,91.086,34.64,MEDIUM,9,False,Green
9,RAI,16,91.363,36.522,MEDIUM,9,False,Green
9,LAT,17,91.704,39.327,MEDIUM,9,False,Green
9,MSC,18,91.755,40.938,SOFT,9,False,Green
9,RUS,19,91.554,42.276,MEDIUM,9,False,Green
10,HAM,1,88.216,0.0,MEDIUM,13,False,Green
10,VER,2,88.89,3.412,SOFT,13,False,Green
10,PER,3,88.937,7.105,SOFT,13,False,Green
10,SAI,4,90.174,18.498,SOFT,13,False,Green
10,NOR,5,90.243,21.012,SOFT,13,False,Green
10,LEC,6,90.268,22.199,SOFT,13,False,Green
10,TSU,7,90.322,23.583,MEDIUM,14,False,Green
10,BOT,8,90.704,25.145,MEDIUM,15,False,Green
10,OCO,9,90.572,27.54,SOFT,13,False,Green
10,RIC,10,90.658,28.956,SOFT,13,False,Green
10,ALO,11,90.989,31.251,HARD,11,False,Green
10,GAS,12,90.88,32.623,HARD,10,False,Green
10,GIO,13,91.035,34.312,MEDIUM,10,False,Green
10,VET,14,90.955,35.548,MEDIUM,10,False,Green
10,STR,15,91.052,37.476,MEDIUM,10,False,Green
10,RAI,16,90.74,39.046,MEDIUM,10,False,Green
10,LAT,17,91.389,42.5,MEDIUM,10,False,Green
10,RUS,18,91.631,45.691,MEDIUM,10,False,Green
10,MSC,19,93.378,46.1,SOFT,10,True,Green
11,HAM,1,88.134,0.0,MEDIUM,14,False,Green
11,VER,2,89.137,4.415,SOFT,14,False,Green
11,PER,3,88.886,7.857,SOFT,14,False,Green
11,SAI,4,89.8,20.164,SOFT,14,False,Green
11,NOR,5,90.091,22.969,SOFT,14,False,Green
11,LEC,6,89.996,24.061,SOFT,14,False,Green
11,TSU,7,90.137,25.586,MEDIUM,15,False,Green
11,BOT,8,90.592,27.603,MEDIUM,16,False,Green
11,OCO,9,90.665,30.071,SOFT,14,False,Green
11,RIC,10,90.714,31.536,SOFT,14,False,Green
11,ALO,11,90.577,33.694,HARD,12,False,Green
11,GAS,12,90.726,35.215,HARD,11,False,Green
11,GIO,13,90.746,36.924,MEDIUM,11,False,Green
11,VET,14,90.86,38.274,MEDIUM,11,False,Green
11,STR,15,90.743,40.085,MEDIUM,11,False,Green
11,RAI,16,90.931,41.843,MEDIUM,11,False,Green
11,LAT,17,91.511,45.877,MEDIUM,11,False,Green
11,RUS,18,90.793,48.35,MEDIUM,11,False,Green
11,MSC,19,110.461,68.427,HARD,1,True,Green
12,HAM,1,88.566,0.0,MEDIUM,15,False,Green
12,VER,2,89.282,5.131,SOFT,15,False,Green
12,PER,3,89.165,8.456,SOFT,15,False,Green
12,SAI,4,89.772,21.37,SOFT,15,False,Green
12,NOR,5,90.085,24.488,SOFT,15,False,Green
12,LEC,6,90.381,25.876,SOFT,15,False,Green
12,TSU,7,90.507,27.527,MEDIUM,16,False,Green
12,BOT,8,90.252,29.289,MEDIUM,17,False,Green
12,OCO,9,90.742,32.247,SOFT,15,False,Green
12,RIC,10,90.668,33.638,SOFT,15,False,Green
12,ALO,11,90.535,35.663,HARD,13,False,Green
12,GAS,12,90.547,37.196,HARD,12,False,Green
12,GIO,13,90.868,39.226,MEDIUM,12,False,Green
12,VET,14,90.733,40.441,MEDIUM,12,False,Green
12,STR,15,90.858,42.377,MEDIUM,12,False,Green
12,RAI,16,90.807,44.084,MEDIUM,12,False,Green
12,LAT,17,90.971,48.282,MEDIUM,12,False,Green
12,RUS,18,90.957,50.741,MEDIUM,12,False,Green
12,MSC,19,90.122,69.983,HARD,2,False,Green
13,HAM,1,88.258,0.0,MEDIUM,16,False,Green
13,VER,2,91.515,8.388,SOFT,16,True,Green
13,PER,3,89.267,9.465,SOFT,16,False,Green
13,SAI,4,89.801,22.913,SOFT,16,False,Green
13,NOR,5,90.583,26.813,SOFT,16,False,Green
13,LEC,6,90.323,27.941,SOFT,16,False,Green
13,TSU,7,89.972,29.241,MEDIUM,17,False,Green
13,BOT,8,90.079,31.11,MEDIUM,18,False,Green
13,OCO,9,90.861,34.85,SOFT,16,False,Green
13,RIC,10,91.229,36.609,SOFT,16,False,Green
13,ALO,11,90.488,37.893,HARD,14,False,Green
13,GAS,12,90.408,39.346,HARD,13,False,Green
13,GIO,13,90.853,41.821,MEDIUM,13,False,Green
13,VET,14,90.717,42.9,MEDIUM,13,False,Green
13,STR,15,90.581,44.7,MEDIUM,13,False,Green
13,RAI,16,91.086,46.912,MEDIUM,13,False,Green
13,LAT,17,91.078,51.102,MEDIUM,13,False,Green
13,RUS,18,91.068,53.551,MEDIUM,13,False,Green
13,MSC,19,90.231,71.956,HARD,3,False,Green
14,HAM,1,90.253,0.0,MEDIUM,17,True,Green
14,PER,2,89.392,8.604,SOFT,17,False,Green
14,SAI,3,89.591,22.251,SOFT,17,False,Green
14,VER,4,107.251,25.386,HARD,1,True,Green
14,NOR,5,90.775,27.335,SOFT,17,False,Green
14,LEC,6,92.05,29.738,SOFT,17,False,Green
14,TSU,7,91.597,30.585,MEDIUM,18,False,Green
14,BOT,8,90.595,31.452,MEDIUM,19,False,Green
14,OCO,9,91.166,35.763,SOFT,17,False,Green
14,RIC,10,91.146,37.502,SOFT,17,False,Green
14,ALO,11,90.842,38.482,HARD,15,False,Green
14,GAS,12,90.641,39.734,HARD,14,False,Green
14,GIO,13,90.546,42.114,MEDIUM,14,False,Green
14,VET,14,90.495,43.142,MEDIUM,14,False,Green
14,STR,15,90.622,45.069,MEDIUM,14,False,Green
14,RAI,16,90.753,47.412,MEDIUM,14,False,Green
14,LAT,17,90.932,51.781,MEDIUM,14,False,Green
14,RUS,18,90.768,54.066,MEDIUM,14,False,Green
14,MSC,19,90.727,72.43,HARD,4,False,Green
15,PER,1,89.581,0.0,SOFT,18,False,Green
15,HAM,2,108.755,10.57,HARD,2,True,Green
15,SAI,3,89.938,14.004,SOFT,18,False,Green
15,VER,4,88.492,15.693,HARD,2,False,Green
15,NOR,5,90.348,19.498,SOFT,18,False,Green
15,TSU,6,90.054,22.454,MEDIUM,19,False,Green
15,BOT,7,91.079,24.346,MEDIUM,20,False,Green
15,LEC,8,93.881,25.434,SOFT,18,True,Green
15,RIC,9,90.859,30.176,SOFT,18,False,Green
15,OCO,10,93.316,30.894,SOFT,18,True,Green
15,ALO,11,90.817,31.114,HARD,16,False,Green
15,GAS,12,90.686,32.235,HARD,15,False,Green
15,GIO,13,90.55,34.479,MEDIUM,15,False,Green
15,VET,14,90.748,35.705,MEDIUM,15,False,Green
15,STR,15,90.446,37.33,MEDIUM,15,False,Green
15,RAI,16,90.604,39.831,MEDIUM,15,False,Green
15,LAT,17,91.134,44.73,MEDIUM,15,False,Green
15,RUS,18,90.853,46.734,MEDIUM,15,False,Green
15,MSC,19,90.687,64.932,HARD,5,False,Green
16,PER,1,89.683,0.0,SOFT,19,False,Green
16,HAM,2,87.833,8.72,HARD,3,False,Green
16,SAI,3,89.591,13.912,SOFT,19,False,Green
16,VER,4,89.006,15.016,HARD,3,False,Green
16,NOR,5,90.106,19.921,SOFT,19,False,Green
16,TSU,6,90.114,22.885,MEDIUM,20,False,Green
16,BOT,7,89.754,24.417,MEDIUM,21,False,Green
16,RIC,8,90.661,31.154,SOFT,19,False,Green
16,ALO,9,90.648,32.079,HARD,17,False,Green
16,GAS,10,90.629,33.181,HARD,16,False,Green
16,GIO,11,90.682,35.478,MEDIUM,16,False,Green
16,VET,12,90.595,36.617,MEDIUM,16,False,Green
16,STR,13,90.827,38.474,MEDIUM,16,False,Green
16,RAI,14,90.478,40.626,MEDIUM,16,False,Green
16,LAT,15,91.047,46.094,MEDIUM,16,False,Green
16,LEC,16,110.853,46.604,HARD,1,True,Green
16,RUS,17,91.729,48.78,MEDIUM,16,False,Green
16,OCO,18,109.514,50.725,HARD,2,True,Green
16,MSC,19,90.458,65.707,HARD,6,False,Green
17,PER,1,89.967,0.0,SOFT,20,False,Green
17,HAM,2,87.78,6.533,HARD,4,False,Green
17,SAI,3,89.311,13.256,SOFT,20,False,Green
17,VER,4,89.108,14.157,HARD,4,False,Green
17,NOR,5,92.251,22.205,SOFT,20,True,Green
17,TSU,6,89.84,22.758,MEDIUM,21,False,Green
17,BOT,7,89.692,24.142,MEDIUM,22,False,Green
17,RIC,8,90.828,32.015,SOFT,20,False,Green
17,ALO,9,90.93,33.042,HARD,18,False,Green
17,GAS,10,90.744,33.958,HARD,17,False,Green
17,VET,11,90.31,36.96,MEDIUM,17,False,Green
17,GIO,12,92.432,37.943,MEDIUM,17,True,Green
17,STR,13,90.519,39.026,MEDIUM,17,False,Green
17,RAI,14,90.312,40.971,MEDIUM,17,False,Green
17,LEC,15,89.408,46.045,HARD,2,False,Green
17,LAT,16,91.891,48.018,MEDIUM,17,False,Green
17,RUS,17,91.206,50.019,MEDIUM,17,False,Green
17,OCO,18,90.024,50.782,HARD,3,False,Green
17,MSC,19,90.581,66.321,HARD,7,False,Green
18,PER,1,90.588,0.0,SOFT,21,False,Green
18,HAM,2,87.889,3.834,HARD,5,False,Green
18,VER,3,88.502,12.071,HARD,5,False,Green
18,SAI,4,90.907,13.575,SOFT,21,False,Green
18,TSU,5,89.674,21.844,MEDIUM,22,False,Green
18,BOT,6,89.478,23.032,MEDIUM,23,False,Green
18,ALO,7,90.574,33.028,HARD,19,False,Green
18,GAS,8,90.725,34.095,HARD,18,False,Green
18,RIC,9,92.751,34.178,SOFT,21,True,Green
18,VET,10,90.16,36.532,MEDIUM,18,False,Green
18,STR,11,90.369,38.807,MEDIUM,18,False,Green
18,RAI,12,90.426,40.809,MEDIUM,18,False,Green
18,NOR,13,110.162,41.779,HARD,1,True,Green
18,LEC,14,89.283,44.74,HARD,3,False,Green
18,LAT,15,90.912,48.342,MEDIUM,18,False,Green
18,OCO,16,89.874,50.068,HARD,4,False,Green
18,RUS,17,92.536,51.967,MEDIUM,18,False,Green
18,GIO,18,111.395,58.75,HARD,1,True,Green
18,MSC,19,90.736,66.469,HARD,8,False,Green
19,PER,1,91.034,0.0,SOFT,22,False,Green
19,HAM,2,88.232,1.032,HARD,6,False,Green
19,VER,3,88.713,9.75,HARD,6,False,Green
19,SAI,4,92.384,14.925,SOFT,22,True,Green
