lap_number,driver,position,lap_time,gap_ahead,tire_compound,tire_age,pit_stop,track_status
1,HAM,1,127.777,0.0,MEDIUM,4,True,Yellow
1,VER,2,129.912,2.135,MEDIUM,4,True,Yellow
1,PER,3,132.787,5.01,MEDIUM,4,True,Yellow
1,ALB,4,136.507,8.73,MEDIUM,4,True,Yellow
1,RIC,5,141.194,13.417,MEDIUM,4,True,Yellow
1,BOT,6,142.955,15.178,MEDIUM,4,True,Yellow
1,GAS,7,147.729,19.952,MEDIUM,4,True,Yellow
1,OCO,8,149.204,21.427,MEDIUM,4,True,Yellow
1,NOR,9,158.866,31.089,MEDIUM,4,True,Yellow
1,LEC,10,160.113,32.336,HARD,1,True,Yellow
1,GIO,11,163.748,35.971,MEDIUM,1,True,Yellow
1,STR,12,165.807,38.03,MEDIUM,4,True,Yellow
1,SAI,13,167.457,39.68,SOFT,1,True,Yellow
1,MAG,14,169.8,42.023,MEDIUM,1,True,Yellow
1,VET,15,174.756,46.979,MEDIUM,3,True,Yellow
1,LAT,16,177.4,49.623,HARD,1,True,Yellow
1,RAI,17,179.282,51.505,MEDIUM,1,True,Yellow
1,RUS,18,181.946,54.169,MEDIUM,1,True,Yellow
1,KVY,19,185.092,57.315,MEDIUM,4,True,Yellow
4,HAM,1,144.304,0.0,MEDIUM,7,False,Safety
4,VER,2,144.266,2.097,MEDIUM,4,False,Safety
4,PER,3,142.056,2.762,MEDIUM,8,False,Safety
4,ALB,4,139.742,4.168,MEDIUM,4,False,Safety
4,BOT,5,143.108,13.982,MEDIUM,7,True,Safety
4,NOR,6,138.927,25.712,MEDIUM,7,False,Safety
4,OCO,7,138.854,15.977,MEDIUM,7,False,Safety
4,LEC,8,138.031,26.063,MEDIUM,5,False,Safety
4,RIC,9,137.846,6.959,MEDIUM,7,False,Safety
4,GAS,10,138.822,14.47,HARD,3,False,Safety
4,SAI,11,138.441,33.817,SOFT,3,False,Safety
4,KVY,12,137.51,50.521,SOFT,6,False,Safety
4,RAI,13,137.286,44.487,MEDIUM,3,False,Safety
4,LAT,14,137.274,42.593,MEDIUM,3,False,Safety
4,RUS,15,136.391,46.256,MEDIUM,3,False,Safety
4,VET,16,137.077,39.752,HARD,3,False,Safety
4,GIO,17,137.289,28.956,MEDIUM,3,False,Safety
4,MAG,18,146.852,44.571,HARD,1,True,Safety
5,HAM,1,147.673,0.0,MEDIUM,8,False,Safety
5,VER,2,148.753,3.177,MEDIUM,5,False,Safety
5,PER,3,149.086,4.175,MEDIUM,9,False,Safety
5,ALB,4,148.957,5.452,MEDIUM,5,False,Safety
5,NOR,5,149.443,27.482,MEDIUM,8,False,Safety
5,OCO,6,149.805,18.109,MEDIUM,8,False,Safety
5,MAG,18,142.898,39.796,HARD,2,False,Safety
6,HAM,1,140.062,143.712,MEDIUM,9,False,Safety
6,VER,2,138.96,145.787,MEDIUM,6,False,Safety
6,PER,3,139.412,147.237,MEDIUM,10,False,Safety
6,ALB,4,138.973,148.075,MEDIUM,6,False,Safety
6,NOR,5,138.794,169.926,MEDIUM,9,False,Safety
6,OCO,6,139.003,160.762,MEDIUM,9,False,Safety
6,LEC,7,138.696,20.736,MEDIUM,7,False,Safety
6,RIC,8,137.064,0.0,MEDIUM,9,False,Safety
6,GAS,9,137.801,8.248,HARD,5,False,Safety
6,SAI,10,138.223,28.017,SOFT,5,False,Safety
6,KVY,11,138.712,45.21,SOFT,8,False,Safety
6,RAI,12,137.412,37.876,MEDIUM,5,False,Safety
6,LAT,13,138.521,37.091,MEDIUM,5,False,Safety
6,RUS,14,137.714,39.947,MEDIUM,5,False,Safety
6,VET,15,138.466,34.195,HARD,5,False,Safety
6,BOT,16,137.765,7.724,HARD,2,False,Safety
6,GIO,17,137.741,22.674,MEDIUM,5,False,Safety
6,MAG,18,136.727,180.173,HARD,3,False,Safety
7,HAM,1,138.867,142.998,MEDIUM,10,False,Safety
7,VER,2,138.648,144.854,MEDIUM,7,False,Safety
7,PER,3,138.327,145.983,MEDIUM,11,False,Safety
7,ALB,4,139.135,147.629,MEDIUM,7,False,Safety
7,NOR,5,138.451,168.796,MEDIUM,10,False,Safety
7,OCO,6,137.864,159.045,MEDIUM,10,False,Safety
7,LEC,7,137.543,18.698,MEDIUM,8,False,Safety
7,RIC,8,139.581,0.0,MEDIUM,10,False,Safety
7,GAS,9,138.209,6.876,HARD,6,False,Safety
7,SAI,10,138.097,26.533,SOFT,6,False,Safety
7,KVY,11,137.759,43.388,SOFT,9,False,Safety
7,RAI,12,138.675,36.97,MEDIUM,6,False,Safety
7,LAT,13,138.493,36.003,MEDIUM,6,False,Safety
7,RUS,14,140.018,40.384,MEDIUM,6,False,Safety
7,VET,15,140.07,34.684,HARD,6,False,Safety
7,BOT,16,140.284,8.427,HARD,3,False,Safety
7,GIO,17,140.933,24.026,MEDIUM,6,False,Safety
7,MAG,18,141.154,181.746,HARD,4,False,Safety
8,RIC,8,147.921,1.041,MEDIUM,11,False,Yellow
8,GAS,9,147.312,7.308,HARD,7,False,Yellow
8,SAI,10,146.467,26.12,SOFT,7,False,Yellow
8,KVY,11,145.449,41.957,SOFT,10,False,Yellow
8,RAI,12,144.534,34.624,MEDIUM,7,False,Yellow
8,LAT,13,142.993,32.116,MEDIUM,7,False,Yellow
8,RUS,14,140.962,34.466,MEDIUM,7,False,Yellow
8,VET,15,139.571,27.375,HARD,7,False,Yellow
8,BOT,16,138.453,0.0,HARD,4,False,Yellow
8,GIO,17,137.039,14.185,MEDIUM,7,False,Yellow
8,MAG,18,135.889,170.755,HARD,5,False,Yellow
9,HAM,1,93.733,120.608,MEDIUM,12,False,Green
9,VER,2,94.185,122.916,MEDIUM,9,False,Green
9,PER,3,95.363,125.223,MEDIUM,13,False,Green
9,ALB,4,95.862,127.368,MEDIUM,9,False,Green
9,NOR,5,96.844,149.517,MEDIUM,12,False,Green
9,OCO,6,96.999,139.921,MEDIUM,12,False,Green
9,LEC,7,97.425,0.0,MEDIUM,10,False,Green
9,SAI,8,97.163,154.04,SOFT,8,False,Green
9,RIC,9,98.313,130.111,MEDIUM,12,False,Green
9,GAS,10,98.48,136.545,HARD,8,False,Green
9,KVY,11,98.3,171.014,SOFT,11,False,Green
9,RAI,12,98.702,164.083,MEDIUM,8,False,Green
9,RUS,13,98.335,163.558,MEDIUM,8,False,Green
9,LAT,14,99.644,162.517,MEDIUM,8,False,Green
9,VET,15,99.435,157.567,HARD,8,False,Green
9,BOT,16,99.509,130.266,HARD,5,False,Green
9,GIO,17,99.418,144.36,MEDIUM,8,False,Green
9,MAG,18,99.638,301.15,HARD,6,False,Green
10,HAM,1,94.357,117.935,MEDIUM,13,False,Green
10,VER,2,94.535,120.421,MEDIUM,10,False,Green
10,PER,3,95.087,123.28,MEDIUM,14,False,Green
10,ALB,4,95.545,125.883,MEDIUM,10,False,Green
10,NOR,5,96.554,149.041,MEDIUM,13,False,Green
10,OCO,6,96.93,139.821,MEDIUM,13,False,Green
10,LEC,7,97.03,0.0,MEDIUM,11,False,Green
10,SAI,8,97.117,154.127,SOFT,9,False,Green
10,RIC,9,97.168,130.249,MEDIUM,13,False,Green
10,GAS,10,97.427,136.942,HARD,9,False,Green
10,KVY,11,97.701,171.685,SOFT,12,False,Green
10,RUS,12,97.878,164.406,MEDIUM,9,False,Green
10,RAI,13,98.958,166.011,MEDIUM,9,False,Green
10,LAT,14,98.539,164.026,MEDIUM,9,False,Green
10,VET,15,98.559,159.096,HARD,9,False,Green
10,BOT,16,98.747,131.983,HARD,6,False,Green
10,GIO,17,99.061,146.391,MEDIUM,9,False,Green
10,MAG,18,99.126,303.246,HARD,7,False,Green
11,HAM,1,94.49,115.416,MEDIUM,14,False,Green
11,VER,2,94.705,118.117,MEDIUM,11,False,Green
11,PER,3,95.386,121.657,MEDIUM,15,False,Green
11,ALB,4,95.652,124.526,MEDIUM,11,False,Green
11,NOR,5,96.243,148.275,MEDIUM,14,False,Green
11,OCO,6,96.474,139.286,MEDIUM,14,False,Green
11,LEC,7,97.009,0.0,MEDIUM,12,False,Green
11,SAI,8,96.821,153.939,SOFT,10,False,Green
11,RIC,9,97.044,130.284,MEDIUM,14,False,Green
11,GAS,10,96.932,136.865,HARD,10,False,Green
11,KVY,11,96.976,171.652,SOFT,13,False,Green
11,RUS,12,97.59,164.987,MEDIUM,10,False,Green
11,RAI,13,97.835,166.837,MEDIUM,10,False,Green
11,LAT,14,97.869,164.886,MEDIUM,10,False,Green
11,VET,15,98.17,160.257,HARD,10,False,Green
11,BOT,16,97.959,132.933,HARD,7,False,Green
11,GIO,17,98.016,147.398,MEDIUM,10,False,Green
11,MAG,18,98.449,304.686,HARD,8,False,Green
12,HAM,1,94.464,109.931,MEDIUM,15,False,Green
12,VER,2,94.699,112.867,MEDIUM,12,False,Green
12,PER,3,95.647,117.355,MEDIUM,16,False,Green
12,ALB,4,95.831,120.408,MEDIUM,12,False,Green
12,NOR,5,96.261,144.587,MEDIUM,15,False,Green
12,OCO,6,96.622,135.959,MEDIUM,15,False,Green
12,SAI,7,96.85,150.84,SOFT,11,False,Green
12,RIC,8,97.346,127.681,MEDIUM,15,False,Green
12,LEC,9,99.949,0.0,MEDIUM,13,False,Green
12,GAS,10,98.41,135.326,HARD,11,False,Green
12,KVY,11,98.214,169.917,SOFT,14,False,Green
12,RUS,12,97.83,162.868,MEDIUM,11,False,Green
