lap_number,driver,position,lap_time,gap_ahead,tire_compound,tire_age,pit_stop,track_status
1,RUS,1,90.516,0.0,INTERMEDIATE,4,False,Yellow
1,NOR,2,91.803,1.287,INTERMEDIATE,4,False,Yellow
1,TSU,3,93.749,3.233,INTERMEDIATE,4,False,Yellow
1,OCO,4,94.467,3.951,INTERMEDIATE,3,False,Yellow
1,LEC,5,94.968,4.452,INTERMEDIATE,3,False,Yellow
1,LAW,6,95.992,5.476,INTERMEDIATE,4,False,Yellow
1,PIA,7,96.644,6.128,INTERMEDIATE,4,False,Yellow
1,ALO,8,97.318,6.802,INTERMEDIATE,1,False,Yellow
1,GAS,9,98.052,7.536,INTERMEDIATE,1,False,Yellow
1,HAM,10,98.874,8.358,INTERMEDIATE,1,False,Yellow
1,VER,11,99.161,8.645,INTERMEDIATE,1,False,Yellow
1,COL,12,99.943,9.427,INTERMEDIATE,1,False,Yellow
1,BEA,13,100.491,9.975,INTERMEDIATE,1,False,Yellow
1,HUL,14,101.582,11.066,INTERMEDIATE,1,False,Yellow
1,BOT,15,101.65,11.134,INTERMEDIATE,1,False,Yellow
1,ZHO,16,102.75,12.234,INTERMEDIATE,1,False,Yellow
1,SAI,17,103.434,12.918,INTERMEDIATE,1,True,Yellow
1,PER,18,109.387,18.871,INTERMEDIATE,1,False,Yellow
2,RUS,1,85.804,0.0,INTERMEDIATE,5,False,Green
2,NOR,2,86.207,1.69,INTERMEDIATE,5,False,Green
2,TSU,3,86.351,3.78,INTERMEDIATE,5,False,Green
2,OCO,4,86.376,4.523,INTERMEDIATE,4,False,Green
2,LEC,5,86.521,5.169,INTERMEDIATE,4,False,Green
2,LAW,6,86.807,6.479,INTERMEDIATE,5,False,Green
2,PIA,7,87.194,7.518,INTERMEDIATE,5,False,Green
2,ALO,8,87.116,8.114,INTERMEDIATE,2,False,Green
2,GAS,9,87.33,9.062,INTERMEDIATE,2,False,Green
2,VER,10,87.134,9.975,INTERMEDIATE,2,False,Green
2,HAM,11,87.832,10.386,INTERMEDIATE,2,False,Green
2,COL,12,87.983,11.606,INTERMEDIATE,2,False,Green
2,BEA,13,88.376,12.547,INTERMEDIATE,2,False,Green
2,HUL,14,87.576,12.838,INTERMEDIATE,2,False,Green
2,BOT,15,88.923,14.253,INTERMEDIATE,2,False,Green
2,ZHO,16,89.022,15.452,INTERMEDIATE,2,False,Green
2,SAI,17,89.021,16.135,INTERMEDIATE,2,False,Green
2,PER,18,87.047,20.114,INTERMEDIATE,2,False,Green
3,RUS,1,85.598,0.0,INTERMEDIATE,6,False,Green
3,NOR,2,85.402,1.494,INTERMEDIATE,6,False,Green
3,TSU,3,86.018,4.2,INTERMEDIATE,6,False,Green
3,OCO,4,86.338,5.263,INTERMEDIATE,5,False,Green
3,LEC,5,86.205,5.776,INTERMEDIATE,5,False,Green
3,LAW,6,86.348,7.229,INTERMEDIATE,6,False,Green
3,PIA,7,86.233,8.153,INTERMEDIATE,6,False,Green
3,ALO,8,86.966,9.482,INTERMEDIATE,3,False,Green
3,GAS,9,86.668,10.132,INTERMEDIATE,3,False,Green
3,VER,10,86.24,10.617,INTERMEDIATE,3,False,Green
3,HAM,11,86.853,11.641,INTERMEDIATE,3,False,Green
3,COL,12,87.14,13.148,INTERMEDIATE,3,False,Green
3,BEA,13,86.798,13.747,INTERMEDIATE,3,False,Green
3,HUL,14,87.18,14.42,INTERMEDIATE,3,False,Green
3,BOT,15,87.735,16.39,INTERMEDIATE,3,False,Green
3,ZHO,16,87.514,17.368,INTERMEDIATE,3,False,Green
3,SAI,17,86.884,17.421,INTERMEDIATE,3,False,Green
3,PER,18,85.891,20.407,INTERMEDIATE,3,False,Green
4,RUS,1,85.642,0.0,INTERMEDIATE,7,False,Yellow
4,NOR,2,85.165,1.017,INTERMEDIATE,7,False,Yellow
4,TSU,3,85.425,3.983,INTERMEDIATE,7,False,Yellow
4,OCO,4,85.703,5.324,INTERMEDIATE,6,False,Yellow
4,LEC,5,86.165,6.299,INTERMEDIATE,6,False,Yellow
4,LAW,6,86.217,7.804,INTERMEDIATE,7,False,Yellow
4,PIA,7,85.913,8.424,INTERMEDIATE,7,False,Yellow
4,ALO,8,86.72,10.56,INTERMEDIATE,4,False,Yellow
4,GAS,9,86.864,11.354,INTERMEDIATE,4,False,Yellow
4,VER,10,86.702,11.677,INTERMEDIATE,4,False,Yellow
4,HAM,11,86.659,12.658,INTERMEDIATE,4,False,Yellow
4,COL,12,87.685,15.191,INTERMEDIATE,4,False,Yellow
4,HUL,13,87.959,16.737,INTERMEDIATE,4,False,Yellow
4,BOT,14,87.071,17.819,INTERMEDIATE,4,False,Yellow
4,SAI,15,86.54,18.319,INTERMEDIATE,4,False,Yellow
4,ZHO,16,88.172,19.898,INTERMEDIATE,4,False,Yellow
4,BEA,17,92.155,20.26,INTERMEDIATE,4,False,Yellow
4,PER,18,86.274,21.039,INTERMEDIATE,4,False,Yellow
5,RUS,1,85.317,0.0,INTERMEDIATE,8,False,Green
5,NOR,2,85.012,0.712,INTERMEDIATE,8,False,Green
5,TSU,3,85.429,4.095,INTERMEDIATE,8,False,Green
5,OCO,4,85.417,5.424,INTERMEDIATE,7,False,Green
5,LEC,5,85.018,6.0,INTERMEDIATE,7,False,Green
5,LAW,6,85.366,7.853,INTERMEDIATE,8,False,Green
5,PIA,7,85.547,8.654,INTERMEDIATE,8,False,Green
5,ALO,8,86.044,11.287,INTERMEDIATE,5,False,Green
5,VER,9,85.394,11.754,INTERMEDIATE,5,False,Green
5,GAS,10,86.804,12.841,INTERMEDIATE,5,False,Green
5,HAM,11,85.992,13.333,INTERMEDIATE,5,False,Green
5,COL,12,86.684,16.558,INTERMEDIATE,5,False,Green
5,HUL,13,85.532,16.952,INTERMEDIATE,5,False,Green
5,BOT,14,86.53,19.032,INTERMEDIATE,5,False,Green
5,SAI,15,86.185,19.187,INTERMEDIATE,5,False,Green
5,BEA,16,86.485,21.428,INTERMEDIATE,5,False,Green
5,PER,17,86.062,21.784,INTERMEDIATE,5,False,Green
5,ZHO,18,89.677,24.258,INTERMEDIATE,5,False,Green
6,RUS,1,84.675,0.0,INTERMEDIATE,9,False,Green
6,NOR,2,84.922,0.959,INTERMEDIATE,9,False,Green
6,TSU,3,84.903,4.323,INTERMEDIATE,9,False,Green
6,OCO,4,85.011,5.76,INTERMEDIATE,8,False,Green
6,LEC,5,85.087,6.412,INTERMEDIATE,8,False,Green
6,LAW,6,85.072,8.25,INTERMEDIATE,9,False,Green
6,PIA,7,85.2,9.179,INTERMEDIATE,9,False,Green
6,VER,8,84.311,11.39,INTERMEDIATE,6,False,Green
6,ALO,9,86.445,13.057,INTERMEDIATE,6,False,Green
6,GAS,10,85.604,13.77,INTERMEDIATE,6,False,Green
6,HAM,11,86.101,14.759,INTERMEDIATE,6,False,Green
6,HUL,12,85.155,17.432,INTERMEDIATE,6,False,Green
6,COL,13,87.143,19.026,INTERMEDIATE,6,False,Green
6,BOT,14,86.143,20.5,INTERMEDIATE,6,False,Green
6,SAI,15,86.915,21.427,INTERMEDIATE,6,False,Green
6,BEA,16,85.728,22.481,INTERMEDIATE,6,False,Green
6,PER,17,86.304,23.413,INTERMEDIATE,6,False,Green
6,ZHO,18,86.557,26.14,INTERMEDIATE,6,False,Green
7,RUS,1,84.854,0.0,INTERMEDIATE,10,False,Green
7,NOR,2,85.001,1.106,INTERMEDIATE,10,False,Green
7,TSU,3,85.024,4.493,INTERMEDIATE,10,False,Green
7,OCO,4,85.38,6.286,INTERMEDIATE,9,False,Green
7,LEC,5,85.353,6.911,INTERMEDIATE,9,False,Green
7,LAW,6,85.411,8.807,INTERMEDIATE,10,False,Green
7,PIA,7,85.367,9.692,INTERMEDIATE,10,False,Green
7,VER,8,84.342,10.878,INTERMEDIATE,7,False,Green
7,ALO,9,85.264,13.467,INTERMEDIATE,7,False,Green
7,GAS,10,85.323,14.239,INTERMEDIATE,7,False,Green
7,HAM,11,85.254,15.159,INTERMEDIATE,7,False,Green
7,HUL,12,85.526,18.104,INTERMEDIATE,7,False,Green
7,COL,13,85.837,20.009,INTERMEDIATE,7,False,Green
7,BOT,14,85.823,21.469,INTERMEDIATE,7,False,Green
7,SAI,15,85.419,21.992,INTERMEDIATE,7,False,Green
7,BEA,16,85.412,23.039,INTERMEDIATE,7,False,Green
7,PER,17,85.83,24.389,INTERMEDIATE,7,False,Green
7,ZHO,18,86.941,28.227,INTERMEDIATE,7,False,Green
8,RUS,1,84.588,0.0,INTERMEDIATE,11,False,Green
8,NOR,2,84.454,0.972,INTERMEDIATE,11,False,Green
8,TSU,3,85.28,5.185,INTERMEDIATE,11,False,Green
8,OCO,4,84.954,6.652,INTERMEDIATE,10,False,Green
8,LEC,5,85.076,7.399,INTERMEDIATE,10,False,Green
8,LAW,6,85.237,9.456,INTERMEDIATE,11,False,Green
8,PIA,7,85.322,10.426,INTERMEDIATE,11,False,Green
8,VER,8,84.657,10.947,INTERMEDIATE,8,False,Green
8,ALO,9,84.707,13.586,INTERMEDIATE,8,False,Green
8,GAS,10,85.227,14.878,INTERMEDIATE,8,False,Green
8,HAM,11,85.153,15.724,INTERMEDIATE,8,False,Green
8,HUL,12,84.701,18.217,INTERMEDIATE,8,False,Green
8,COL,13,85.762,21.183,INTERMEDIATE,8,False,Green
8,BOT,14,85.484,22.365,INTERMEDIATE,8,False,Green
8,SAI,15,85.454,22.858,INTERMEDIATE,8,False,Green
8,BEA,16,85.421,23.872,INTERMEDIATE,8,False,Green
8,PER,17,85.102,24.903,INTERMEDIATE,8,False,Green
8,ZHO,18,86.164,29.803,INTERMEDIATE,8,False,Green
9,RUS,1,84.238,0.0,INTERMEDIATE,12,False,Green
9,NOR,2,84.382,1.116,INTERMEDIATE,12,False,Green
9,TSU,3,84.832,5.779,INTERMEDIATE,12,False,Green
9,OCO,4,84.654,7.068,INTERMEDIATE,11,False,Green
9,LEC,5,84.674,7.835,INTERMEDIATE,11,False,Green
9,LAW,6,84.682,9.9,INTERMEDIATE,12,False,Green
9,PIA,7,84.869,11.057,INTERMEDIATE,12,False,Green
9,VER,8,84.778,11.487,INTERMEDIATE,9,False,Green
9,ALO,9,84.702,14.05,INTERMEDIATE,9,False,Green
9,GAS,10,85.105,15.745,INTERMEDIATE,9,False,Green
9,HAM,11,84.646,16.132,INTERMEDIATE,9,False,Green
9,HUL,12,84.425,18.404,INTERMEDIATE,9,False,Green
9,COL,13,85.048,21.993,INTERMEDIATE,9,False,Green
9,BOT,14,84.851,22.978,INTERMEDIATE,9,False,Green
9,SAI,15,85.191,23.811,INTERMEDIATE,9,False,Green
9,BEA,16,85.164,24.798,INTERMEDIATE,9,False,Green
9,PER,17,85.253,25.918,INTERMEDIATE,9,False,Green
9,ZHO,18,85.915,31.48,INTERMEDIATE,9,False,Green
10,RUS,1,84.295,0.0,INTERMEDIATE,13,False,Green
10,NOR,2,84.088,0.909,INTERMEDIATE,13,False,Green
10,TSU,3,84.592,6.076,INTERMEDIATE,13,False,Green
10,OCO,4,84.493,7.266,INTERMEDIATE,12,False,Green
10,LEC,5,84.672,8.212,INTERMEDIATE,12,False,Green
10,LAW,6,84.976,10.581,INTERMEDIATE,13,False,Green
10,VER,7,84.015,11.207,INTERMEDIATE,10,False,Green
10,PIA,8,85.762,12.524,INTERMEDIATE,13,False,Green
10,ALO,9,85.472,15.227,INTERMEDIATE,10,False,Green
10,GAS,10,85.021,16.471,INTERMEDIATE,10,False,Green
10,HAM,11,85.33,17.167,INTERMEDIATE,10,False,Green
10,HUL,12,85.084,19.193,INTERMEDIATE,10,False,Green
10,COL,13,85.975,23.673,INTERMEDIATE,10,False,Green
10,BOT,14,85.851,24.534,INTERMEDIATE,10,False,Green
10,SAI,15,85.406,24.922,INTERMEDIATE,10,False,Green
10,BEA,16,85.115,25.618,INTERMEDIATE,10,False,Green
10,PER,17,84.911,26.534,INTERMEDIATE,10,False,Green
10,ZHO,18,85.712,32.897,INTERMEDIATE,10,False,Green
11,RUS,1,83.928,0.0,INTERMEDIATE,14,False,Green
11,NOR,2,84.11,1.091,INTERMEDIATE,14,False,Green
11,TSU,3,84.953,7.101,INTERMEDIATE,14,False,Yellow
11,OCO,4,84.782,8.12,INTERMEDIATE,13,False,Yellow
11,LEC,5,84.432,8.716,INTERMEDIATE,13,False,Yellow
11,VER,6,84.156,11.435,INTERMEDIATE,11,False,Yellow
11,LAW,7,86.02,12.673,INTERMEDIATE,14,False,Yellow
11,PIA,8,84.792,13.388,INTERMEDIATE,14,False,Yellow
11,ALO,9,84.692,15.991,INTERMEDIATE,11,False,Yellow
11,GAS,10,84.829,17.372,INTERMEDIATE,11,False,Yellow
11,HUL,11,85.005,20.27,INTERMEDIATE,11,False,Yellow
