lap_number,driver,position,lap_time,gap_ahead,tire_compound,tire_age,pit_stop,track_status
1,NOR,1,96.551,0.0,MEDIUM,1,False,Green
1,VER,2,97.167,0.616,MEDIUM,1,False,Green
1,PIA,3,97.773,1.222,MEDIUM,1,False,Green
1,LEC,4,98.3,1.749,MEDIUM,1,False,Green
1,RUS,5,98.651,2.1,SOFT,4,False,Green
1,SAI,6,99.284,2.733,MEDIUM,1,False,Green
1,ALO,7,100.026,3.475,MEDIUM,2,False,Green
1,HAM,8,100.664,4.113,MEDIUM,1,False,Green
1,GAS,9,101.014,4.463,MEDIUM,1,False,Green
1,ALB,10,101.364,4.813,MEDIUM,1,False,Green
1,STR,11,102.049,5.498,MEDIUM,2,False,Green
1,OCO,12,102.516,5.965,SOFT,1,False,Green
1,TSU,13,103.165,6.614,SOFT,1,False,Green
1,HUL,14,103.503,6.952,HARD,1,False,Green
1,SAR,15,103.792,7.241,MEDIUM,1,False,Green
1,PER,16,104.033,7.482,MEDIUM,1,False,Green
1,DEV,17,104.444,7.893,SOFT,1,False,Green
1,BOT,18,104.975,8.424,HARD,1,False,Green
1,ZHO,19,105.239,8.688,MEDIUM,1,False,Green
1,MAG,20,105.771,9.22,MEDIUM,1,False,Green
2,NOR,1,93.046,0.0,MEDIUM,2,False,Green
2,VER,2,93.433,1.003,MEDIUM,2,False,Green
2,PIA,3,93.845,2.021,MEDIUM,2,False,Green
2,LEC,4,93.994,2.697,MEDIUM,2,False,Green
2,RUS,5,94.115,3.169,SOFT,5,False,Green
2,SAI,6,94.177,3.864,MEDIUM,2,False,Green
2,ALO,7,94.419,4.848,MEDIUM,3,False,Green
2,HAM,8,94.361,5.428,MEDIUM,2,False,Green
2,GAS,9,94.706,6.123,MEDIUM,2,False,Green
2,ALB,10,95.004,6.771,MEDIUM,2,False,Green
2,STR,11,95.093,7.545,MEDIUM,3,False,Green
2,OCO,12,95.23,8.149,SOFT,2,False,Green
2,TSU,13,95.252,8.82,SOFT,2,False,Green
2,HUL,14,95.277,9.183,HARD,2,False,Green
2,PER,15,95.482,9.918,MEDIUM,2,False,Green
2,SAR,16,96.266,10.461,MEDIUM,2,False,Green
2,DEV,17,96.208,11.055,SOFT,2,False,Green
2,ZHO,18,95.912,11.554,MEDIUM,2,False,Green
2,BOT,19,96.741,12.119,HARD,2,False,Green
2,MAG,20,96.337,12.511,MEDIUM,2,False,Green
3,NOR,1,93.18,0.0,MEDIUM,3,False,Green
3,VER,2,92.73,0.553,MEDIUM,3,False,Green
3,PIA,3,92.499,1.34,MEDIUM,3,False,Green
3,LEC,4,92.934,2.451,MEDIUM,3,False,Green
3,RUS,5,93.096,3.085,SOFT,6,False,Green
3,SAI,6,93.456,4.14,MEDIUM,3,False,Green
3,ALO,7,93.424,5.092,MEDIUM,4,False,Green
3,HAM,8,93.662,5.91,MEDIUM,3,False,Green
3,GAS,9,93.605,6.548,MEDIUM,3,False,Green
3,ALB,10,93.809,7.4,MEDIUM,3,False,Green
3,STR,11,94.021,8.386,MEDIUM,4,False,Green
3,OCO,12,94.113,9.082,SOFT,3,False,Green
3,TSU,13,94.229,9.869,SOFT,3,False,Green
3,HUL,14,94.53,10.533,HARD,3,False,Green
3,PER,15,94.38,11.118,MEDIUM,3,False,Green
3,SAR,16,94.577,11.858,MEDIUM,3,False,Green
3,DEV,17,94.746,12.621,SOFT,3,False,Green
3,ZHO,18,94.679,13.053,MEDIUM,3,False,Green
3,BOT,19,94.865,13.804,HARD,3,False,Green
3,MAG,20,95.169,14.5,MEDIUM,3,False,Green
4,NOR,1,92.772,0.0,MEDIUM,4,False,Green
4,VER,2,92.78,0.561,MEDIUM,4,False,Green
4,PIA,3,92.581,1.149,MEDIUM,4,False,Green
4,LEC,4,92.961,2.64,MEDIUM,4,False,Green
4,RUS,5,93.084,3.397,SOFT,7,False,Green
4,SAI,6,92.975,4.343,MEDIUM,4,False,Green
4,ALO,7,93.156,5.476,MEDIUM,5,False,Green
4,HAM,8,93.086,6.224,MEDIUM,4,False,Green
4,GAS,9,93.349,7.125,MEDIUM,4,False,Green
4,ALB,10,93.866,8.494,MEDIUM,4,False,Green
4,STR,11,93.799,9.413,MEDIUM,5,False,Green
4,OCO,12,93.941,10.251,SOFT,4,False,Green
4,TSU,13,94.362,11.459,SOFT,4,False,Green
4,HUL,14,94.354,12.115,HARD,4,False,Green
4,PER,15,94.339,12.685,MEDIUM,4,False,Green
4,SAR,16,94.332,13.418,MEDIUM,4,False,Green
4,DEV,17,94.199,14.048,SOFT,4,False,Green
4,ZHO,18,94.408,14.689,MEDIUM,4,False,Green
4,BOT,19,94.611,15.643,HARD,4,False,Green
4,MAG,20,94.731,16.459,MEDIUM,4,False,Green
5,VER,1,92.582,0.0,MEDIUM,5,False,Green
5,NOR,2,93.914,0.771,MEDIUM,5,False,Green
5,PIA,3,93.461,1.467,MEDIUM,5,False,Green
5,LEC,4,94.409,3.906,MEDIUM,5,False,Green
5,RUS,5,94.211,4.465,SOFT,8,False,Green
5,SAI,6,93.666,4.866,MEDIUM,5,False,Green
5,ALO,7,94.157,6.49,MEDIUM,6,False,Green
5,HAM,8,93.718,6.799,MEDIUM,5,False,Green
5,GAS,9,93.863,7.845,MEDIUM,5,False,Green
5,ALB,10,93.86,9.211,MEDIUM,5,False,Green
5,STR,11,93.856,10.126,MEDIUM,6,False,Green
5,OCO,12,93.946,11.054,SOFT,5,False,Green
5,TSU,13,94.457,12.773,SOFT,5,False,Green
5,PER,14,94.073,13.615,MEDIUM,5,False,Green
5,HUL,15,95.588,14.56,HARD,5,False,Green
5,SAR,16,94.842,15.117,MEDIUM,5,False,Green
5,DEV,17,94.761,15.666,SOFT,5,False,Green
5,ZHO,18,94.736,16.282,MEDIUM,5,False,Green
5,BOT,19,94.804,17.304,HARD,5,False,Green
5,MAG,20,94.598,17.914,MEDIUM,5,False,Green
6,VER,1,93.027,0.0,MEDIUM,6,False,Green
6,NOR,2,93.112,0.856,MEDIUM,6,False,Green
6,PIA,3,93.008,1.448,MEDIUM,6,False,Green
6,LEC,4,93.761,4.64,MEDIUM,6,False,Green
6,RUS,5,93.839,5.277,SOFT,9,False,Green
6,SAI,6,94.215,6.054,MEDIUM,6,False,Green
6,ALO,7,94.636,8.099,MEDIUM,7,False,Green
6,HAM,8,94.556,8.328,MEDIUM,6,False,Green
6,GAS,9,94.143,8.961,MEDIUM,6,False,Green
6,ALB,10,94.21,10.394,MEDIUM,6,False,Green
6,STR,11,94.189,11.288,MEDIUM,7,False,Green
6,OCO,12,94.381,12.408,SOFT,6,False,Green
6,PER,13,93.671,14.259,MEDIUM,6,False,Green
6,TSU,14,95.373,15.119,SOFT,6,False,Green
6,SAR,15,94.356,16.446,MEDIUM,6,False,Green
6,HUL,16,95.631,17.164,HARD,6,False,Green
6,DEV,17,94.907,17.546,SOFT,6,False,Green
6,ZHO,18,94.807,18.062,MEDIUM,6,False,Green
6,BOT,19,94.791,19.068,HARD,6,False,Green
6,MAG,20,94.933,19.82,MEDIUM,6,False,Green
7,VER,1,93.1,0.0,MEDIUM,7,False,Green
7,NOR,2,93.19,0.946,MEDIUM,7,False,Green
7,PIA,3,93.29,1.638,MEDIUM,7,False,Green
7,LEC,4,93.403,4.943,MEDIUM,7,False,Green
7,RUS,5,93.432,5.609,SOFT,10,False,Green
7,SAI,6,93.427,6.381,MEDIUM,7,False,Green
7,HAM,7,93.328,8.556,MEDIUM,7,False,Green
7,ALO,8,94.645,9.644,MEDIUM,8,False,Green
7,GAS,9,94.399,10.26,MEDIUM,7,False,Green
7,ALB,10,94.099,11.393,MEDIUM,7,False,Green
7,STR,11,94.115,12.303,MEDIUM,8,False,Green
7,OCO,12,94.346,13.654,SOFT,7,False,Green
7,PER,13,93.919,15.078,MEDIUM,7,False,Green
7,TSU,14,94.571,16.59,SOFT,7,False,Green
7,SAR,15,94.581,17.927,MEDIUM,7,False,Green
7,HUL,16,94.412,18.476,HARD,7,False,Green
7,DEV,17,95.054,19.5,SOFT,7,False,Green
7,ZHO,18,94.995,19.957,MEDIUM,7,False,Green
7,BOT,19,94.879,20.847,HARD,7,False,Green
7,MAG,20,94.95,21.67,MEDIUM,7,False,Green
8,VER,1,92.884,0.0,MEDIUM,8,False,Green
8,NOR,2,93.101,1.163,MEDIUM,8,False,Green
8,PIA,3,93.233,1.987,MEDIUM,8,False,Green
8,LEC,4,93.244,5.303,MEDIUM,8,False,Green
8,RUS,5,93.136,5.861,SOFT,11,False,Green
8,SAI,6,93.442,6.939,MEDIUM,8,False,Green
8,HAM,7,93.483,9.155,MEDIUM,8,False,Green
8,ALO,8,94.019,10.779,MEDIUM,9,False,Green
8,GAS,9,93.905,11.281,MEDIUM,8,False,Green
8,ALB,10,93.922,12.431,MEDIUM,8,False,Green
8,STR,11,93.872,13.291,MEDIUM,9,False,Green
8,OCO,12,94.032,14.802,SOFT,8,False,Green
8,PER,13,93.568,15.762,MEDIUM,8,False,Green
8,TSU,14,94.486,18.192,SOFT,8,False,Green
8,SAR,15,94.108,19.151,MEDIUM,8,False,Green
8,DEV,16,93.896,20.512,SOFT,8,False,Green
8,ZHO,17,94.267,21.34,MEDIUM,8,False,Green
8,BOT,18,94.476,22.439,HARD,8,False,Green
8,MAG,19,94.427,23.213,MEDIUM,8,False,Green
8,HUL,20,127.922,53.514,MEDIUM,1,True,Green
9,VER,1,92.822,0.0,MEDIUM,9,False,Green
9,NOR,2,92.612,0.953,MEDIUM,9,False,Green
9,PIA,3,92.79,1.955,MEDIUM,9,False,Green
9,LEC,4,93.087,5.568,MEDIUM,9,False,Green
9,RUS,5,93.154,6.193,SOFT,12,False,Green
9,SAI,6,93.417,7.534,MEDIUM,9,False,Green
9,HAM,7,93.331,9.664,MEDIUM,9,False,Green
9,ALO,8,93.657,11.614,MEDIUM,10,False,Green
9,GAS,9,93.592,12.051,MEDIUM,9,False,Green
9,ALB,10,93.731,13.34,MEDIUM,9,False,Green
9,STR,11,93.871,14.34,MEDIUM,10,False,Green
9,OCO,12,93.846,15.826,SOFT,9,False,Green
9,PER,13,93.271,16.211,MEDIUM,9,False,Green
9,TSU,14,94.235,19.605,SOFT,9,False,Green
9,SAR,15,93.94,20.269,MEDIUM,9,False,Green
9,DEV,16,93.774,21.464,SOFT,9,False,Green
9,ZHO,17,94.044,22.562,MEDIUM,9,False,Green
9,BOT,18,94.386,24.003,HARD,9,False,Green
9,MAG,19,94.577,24.968,MEDIUM,9,False,Green
9,HUL,20,93.669,54.361,MEDIUM,2,False,Green
10,VER,1,92.594,0.0,MEDIUM,10,False,Green
10,NOR,2,92.977,1.336,MEDIUM,10,False,Green
10,PIA,3,93.379,2.74,MEDIUM,10,False,Green
10,LEC,4,93.167,6.141,MEDIUM,10,False,Green
10,RUS,5,93.424,7.023,SOFT,13,False,Green
10,SAI,6,93.405,8.345,MEDIUM,10,False,Green
10,HAM,7,93.624,10.694,MEDIUM,10,False,Green
10,ALO,8,93.711,12.731,MEDIUM,11,False,Green
10,GAS,9,93.855,13.312,MEDIUM,10,False,Green
10,ALB,10,94.045,14.791,MEDIUM,10,False,Green
10,STR,11,94.007,15.753,MEDIUM,11,False,Green
10,PER,12,93.364,16.981,MEDIUM,10,False,Green
10,TSU,13,94.173,21.184,SOFT,10,False,Green
10,SAR,14,94.31,21.985,MEDIUM,10,False,Green
