lap_number,driver,position,lap_time,gap_ahead,tire_compound,tire_age,pit_stop,track_status
1,VER,1,89.5,0.0,Medium,1,False,Green
1,HAM,2,89.8,1.2,Medium,1,False,Green
1,LEC,3,90.2,3.5,Medium,1,False,Green
1,NOR,4,90.5,5.0,Medium,1,False,Green
1,ALO,5,90.8,7.5,Medium,1,False,Green
2,VER,1,89.3,0.0,Medium,2,False,Green
2,HAM,2,89.1,0.8,Medium,2,False,Green
2,LEC,3,89.8,3.2,Medium,2,False,Green
2,NOR,4,90.4,5.1,Medium,2,False,Green
2,ALO,5,90.9,7.8,Medium,2,False,Green
3,HAM,1,89.1,0.0,Medium,3,False,Green
3,VER,2,88.8,0.8,Medium,3,False,Green
3,NOR,3,90.2,5.3,Medium,3,False,Green
3,ALO,4,90.7,7.6,Medium,3,False,Green
3,LEC,5,91.2,22.5,Hard,1,True,Green
4,HAM,1,89.2,0.0,Medium,4,False,Green
4,VER,2,88.6,0.4,Medium,4,False,Green
4,NOR,3,90.3,5.5,Medium,4,False,Green
4,LEC,4,88.5,18.2,Hard,2,False,Green
4,ALO,5,90.8,8.1,Medium,4,False,Green
5,HAM,1,89.3,0.0,Medium,5,False,Green
5,VER,2,88.5,0.1,Medium,5,False,Green
5,NOR,3,90.1,5.2,Medium,5,False,Green
5,LEC,4,88.3,14.8,Hard,3,False,Green
5,ALO,5,90.6,7.8,Medium,5,False,Green
